"","date","month","weekday","time","flow","holiday"
"154",2019-01-07,"01","Montag","09",677,0
"155",2019-01-07,"01","Montag","10",581,0
"156",2019-01-07,"01","Montag","11",635,0
"157",2019-01-07,"01","Montag","12",546,0
"158",2019-01-07,"01","Montag","13",686,0
"159",2019-01-07,"01","Montag","14",685,0
"160",2019-01-07,"01","Montag","15",764,0
"161",2019-01-07,"01","Montag","16",950,0
"162",2019-01-07,"01","Montag","17",1124,0
"163",2019-01-07,"01","Montag","18",968,0
"164",2019-01-07,"01","Montag","19",575,0
"165",2019-01-07,"01","Montag","20",325,0
"166",2019-01-07,"01","Montag","21",330,0
"167",2019-01-07,"01","Montag","22",259,0
"168",2019-01-07,"01","Montag","23",139,0
"169",2019-01-08,"01","Dienstag","00",67,0
"170",2019-01-08,"01","Dienstag","01",44,0
"171",2019-01-08,"01","Dienstag","02",13,0
"172",2019-01-08,"01","Dienstag","03",23,0
"173",2019-01-08,"01","Dienstag","04",41,0
"174",2019-01-08,"01","Dienstag","05",237,0
"175",2019-01-08,"01","Dienstag","06",882,0
"176",2019-01-08,"01","Dienstag","07",738,0
"177",2019-01-08,"01","Dienstag","08",1226,0
"178",2019-01-08,"01","Dienstag","09",847,0
"179",2019-01-08,"01","Dienstag","10",658,0
"180",2019-01-08,"01","Dienstag","11",720,0
"181",2019-01-08,"01","Dienstag","12",685,0
"182",2019-01-08,"01","Dienstag","13",735,0
"183",2019-01-08,"01","Dienstag","14",762,0
"184",2019-01-08,"01","Dienstag","15",840,0
"185",2019-01-08,"01","Dienstag","16",971,0
"186",2019-01-08,"01","Dienstag","17",1270,0
"187",2019-01-08,"01","Dienstag","18",1107,0
"188",2019-01-08,"01","Dienstag","19",676,0
"189",2019-01-08,"01","Dienstag","20",451,0
"190",2019-01-08,"01","Dienstag","21",388,0
"191",2019-01-08,"01","Dienstag","22",311,0
"192",2019-01-08,"01","Dienstag","23",185,0
"193",2019-01-09,"01","Mittwoch","00",78,0
"194",2019-01-09,"01","Mittwoch","01",41,0
"195",2019-01-09,"01","Mittwoch","02",12,0
"196",2019-01-09,"01","Mittwoch","03",26,0
"197",2019-01-09,"01","Mittwoch","04",49,0
"198",2019-01-09,"01","Mittwoch","05",189,0
"199",2019-01-09,"01","Mittwoch","06",820,0
"200",2019-01-09,"01","Mittwoch","07",1229,0
"201",2019-01-09,"01","Mittwoch","08",1131,0
"202",2019-01-09,"01","Mittwoch","09",804,0
"203",2019-01-09,"01","Mittwoch","10",630,0
"204",2019-01-09,"01","Mittwoch","11",837,0
"205",2019-01-09,"01","Mittwoch","12",781,0
"206",2019-01-09,"01","Mittwoch","13",781,0
"207",2019-01-09,"01","Mittwoch","14",765,0
"208",2019-01-09,"01","Mittwoch","15",792,0
"209",2019-01-09,"01","Mittwoch","16",967,0
"210",2019-01-09,"01","Mittwoch","17",1242,0
"211",2019-01-09,"01","Mittwoch","18",1103,0
"212",2019-01-09,"01","Mittwoch","19",646,0
"213",2019-01-09,"01","Mittwoch","20",453,0
"214",2019-01-09,"01","Mittwoch","21",435,0
"215",2019-01-09,"01","Mittwoch","22",361,0
"216",2019-01-09,"01","Mittwoch","23",201,0
"217",2019-01-10,"01","Donnerstag","00",70,0
"218",2019-01-10,"01","Donnerstag","01",54,0
"219",2019-01-10,"01","Donnerstag","02",12,0
"220",2019-01-10,"01","Donnerstag","03",26,0
"221",2019-01-10,"01","Donnerstag","04",52,0
"222",2019-01-10,"01","Donnerstag","05",205,0
"223",2019-01-10,"01","Donnerstag","06",837,0
"224",2019-01-10,"01","Donnerstag","07",1183,0
"225",2019-01-10,"01","Donnerstag","08",1231,0
"226",2019-01-10,"01","Donnerstag","09",769,0
"227",2019-01-10,"01","Donnerstag","10",690,0
"228",2019-01-10,"01","Donnerstag","11",728,0
"229",2019-01-10,"01","Donnerstag","12",674,0
"230",2019-01-10,"01","Donnerstag","13",715,0
"231",2019-01-10,"01","Donnerstag","14",725,0
"232",2019-01-10,"01","Donnerstag","15",772,0
"233",2019-01-10,"01","Donnerstag","16",964,0
"234",2019-01-10,"01","Donnerstag","17",1235,0
"235",2019-01-10,"01","Donnerstag","18",1242,0
"236",2019-01-10,"01","Donnerstag","19",677,0
"237",2019-01-10,"01","Donnerstag","20",457,0
"238",2019-01-10,"01","Donnerstag","21",400,0
"239",2019-01-10,"01","Donnerstag","22",356,0
"240",2019-01-10,"01","Donnerstag","23",242,0
"241",2019-01-11,"01","Freitag","00",117,0
"242",2019-01-11,"01","Freitag","01",60,0
"243",2019-01-11,"01","Freitag","02",28,0
"244",2019-01-11,"01","Freitag","03",43,0
"245",2019-01-11,"01","Freitag","04",63,0
"246",2019-01-11,"01","Freitag","05",192,0
"247",2019-01-11,"01","Freitag","06",777,0
"248",2019-01-11,"01","Freitag","07",1101,0
